Zone,Consommation-Personnelle (kg/pers/an),Production-Totale,Importations-Totale,Exportations-Totale,Consommation-Totale,Disponibilité-Intérieure-Totale,Production-Poulet,Importations-Poulet,Exportations-Poulet,Consommation-Poulet,Disponibilité-Intérieure-Poulet,Nbre habitant,Évolution-pop (% en 2007-2017),Stabilité-Politique,PIB/habitant ($)
Thaïlande,554590000.0,10716000000.0,12436000000.0,852500000.0,38386000000.0,11936500000.0,70000000.0,2000000.0,1000000.0,99500000.0,100000000.0,69209810.0,4.57,-0.75,17008.0
Timor-Leste,390220000.0,414000000.0,184000000.0,6000000.0,483000000.0,535000000.0,1000000.0,11000000.0,9760000.0,5000000.0,5000000.0,1243258.0,19.96,0.07,3138.4
Togo,445060000.0,4395000000.0,909000000.0,284000000.0,3422000000.0,4798000000.0,40000000.0,16000000.0,0.0,54000000.0,54000000.0,7698474.0,30.03,-0.88,1972.7
Trinité-et-Tobago,511810000.0,332000000.0,732000000.0,176000000.0,704000000.0,893000000.0,61000000.0,23000000.0,0.0,75000000.0,76000000.0,1384059.0,5.78,0.28,26213.9
Tunisie,864040000.0,10994000000.0,5658000000.0,1170000000.0,9881000000.0,15095000000.0,213000000.0,0.0,4000000.0,195000000.0,195000000.0,11433443.0,10.95,-1.02,10874.9
Turkménistan,687840000.0,6138000000.0,1306000000.0,63000000.0,3957000000.0,7519000000.0,20000000.0,9000000.0,-520000.0,26000000.0,27000000.0,5757667.0,18.22,-0.13,13703.5
Turquie,939160000.0,10716000000.0,16773000000.0,852500000.0,6142500000.0,11936500000.0,70000000.0,3000000.0,1000000.0,99500000.0,100000000.0,9757833.0,16.58,-1.79,27582.8
Ukraine,855420000.0,10716000000.0,2661000000.0,852500000.0,38058000000.0,11936500000.0,70000000.0,121000000.0,1000000.0,99500000.0,100000000.0,44487709.0,-4.05,-1.87,11860.6
Uruguay,761740000.0,10656000000.0,973000000.0,7236000000.0,2617000000.0,4440000000.0,33000000.0,3000000.0,3000000.0,31000000.0,33000000.0,3436641.0,3.15,1.05,23107.0
Vanuatu,655880000.0,529000000.0,49000000.0,159000000.0,184000000.0,443000000.0,1000000.0,4000000.0,-8660000.0,3000000.0,3000000.0,285510.0,30.09,0.7,3031.2
Venezuela (République bolivarienne du),534050000.0,15593000000.0,4662000000.0,71000000.0,15699000000.0,21360000000.0,600000000.0,25000000.0,0.0,596000000.0,626000000.0,29402484.0,7.91,-1.27,13584.2
Viet Nam,713460000.0,10716000000.0,2665000000.0,852500000.0,6142500000.0,11936500000.0,918000000.0,16000000.0,1000000.0,99500000.0,100000000.0,9757833.0,10.75,0.23,9050.7
Yémen,302470000.0,3413000000.0,6131000000.0,277000000.0,8415000000.0,8926000000.0,168000000.0,78000000.0,0.0,237000000.0,246000000.0,27834819.0,30.79,-0.04,13584.2
Zambie,355990000.0,12992000000.0,527000000.0,831000000.0,5998000000.0,12219000000.0,49000000.0,12000000.0,1000000.0,58000000.0,60000000.0,16853599.0,34.8,0.15,3395.5
Zimbabwe,337970000.0,7579000000.0,1078000000.0,217000000.0,4812000000.0,9155000000.0,69000000.0,6000000.0,-5680000.0,67000000.0,76000000.0,14236595.0,16.16,-0.71,2331.8
Égypte,747610000.0,10716000000.0,2665000000.0,4842000000.0,6142500000.0,11936500000.0,70000000.0,110000000.0,1000000.0,99500000.0,100000000.0,9757833.0,23.28,-1.42,10435.9
Émirats arabes unis,627670000.0,1793000000.0,14986000000.0,4914000000.0,5958000000.0,11795000000.0,48000000.0,16000000.0,1000000.0,412000000.0,412000000.0,9487203.0,53.79,0.62,13584.2
Équateur,563620000.0,30843000000.0,2134000000.0,8897000000.0,9465000000.0,23810000000.0,340000000.0,0.0,0.0,324000000.0,341000000.0,16785361.0,17.41,-0.07,11679.4
États-Unis d'Amérique,990380000.0,10716000000.0,2665000000.0,852500000.0,6142500000.0,11936500000.0,70000000.0,123000000.0,1000000.0,99500000.0,100000000.0,9757833.0,8.14,0.29,59914.8
Éthiopie,361770000.0,52164000000.0,2967000000.0,1259000000.0,38502000000.0,55860000000.0,14000000.0,1000000.0,870000.0,14000000.0,14000000.0,9757833.0,31.89,-1.68,1988.0
Îles Salomon,659790000.0,1059000000.0,124000000.0,164000000.0,419000000.0,989000000.0,0.0,6000000.0,0.0,3000000.0,3000000.0,636039.0,29.24,0.2,2625.1
